Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,170.25,1201.75,0,19,0,0,NA,NA,NA,NA,NA
2,1,2,170.25,1201.75,1,15.5,0,0,NA,0,0,0,NA
3,1,3,265.25,1070,6,43.6,162.429,162.429,NA,162.429,32.486,-54.206,-54.206
4,1,4,265.25,1070,7,38.6,162.429,162.429,NA,0,0,0,54.206
5,1,5,265.25,1070,8,37.6,162.429,162.429,NA,0,0,0,0
6,1,6,265.25,1070,9,36.6,162.429,162.429,NA,0,0,0,0
7,1,7,265.25,1070,10,32.6,162.429,162.429,NA,0,0,0,0
8,1,8,265.25,1070,11,67.6,162.429,162.429,NA,0,0,0,0
9,1,9,265.25,1070,12,73.6,162.429,162.429,NA,0,0,0,0
10,1,10,265.25,1070,13,39.9,162.429,162.429,NA,0,0,0,0
11,1,11,265.25,1070,14,34,162.429,162.429,NA,0,0,0,0
12,1,12,265.25,1070,15,38.6,162.429,162.429,NA,0,0,0,0
13,1,13,265.25,1070,16,39.8,162.429,162.429,NA,0,0,0,0
14,1,14,265.25,1070,17,39.8,162.429,162.429,NA,0,0,0,0
15,1,15,265.25,1070,18,40.9,162.429,162.429,NA,0,0,0,0
16,1,16,335.25,970.75,23,12,283.881,283.877,NA,121.452,24.29,-54.805,-54.805
17,1,17,335.25,970.75,24,29,283.881,283.877,NA,0,0,0,54.805
18,1,18,335.25,970.75,25,42.3,283.881,283.877,NA,0,0,0,0
19,1,19,335.25,970.75,26,75.4,283.881,283.877,NA,0,0,0,0
20,1,20,335.25,970.75,27,82.7,283.881,283.877,NA,0,0,0,0
21,1,21,335.25,970.75,28,33.9,283.881,283.877,NA,0,0,0,0
22,1,22,335.25,970.75,29,20.6,283.881,283.877,NA,0,0,0,0
23,1,23,335.25,970.75,30,18.8,283.881,283.877,NA,0,0,0,0
24,1,24,335.25,970.75,31,18.8,283.881,283.877,NA,0,0,0,0
25,1,25,335.25,970.75,32,23.7,283.881,283.877,NA,0,0,0,0
26,1,26,335.25,970.75,33,25.8,283.881,283.877,NA,0,0,0,0
27,1,27,356.25,897.5,38,92.2,360.081,356.601,NA,76.201,15.24,-74.003,-74.003
28,1,28,356.25,897.5,39,87.1,360.081,356.601,NA,0,0,0,74.003
29,1,29,356.25,897.5,40,73.1,360.081,356.601,NA,0,0,0,0
30,1,30,356.25,897.5,41,71,360.081,356.601,NA,0,0,0,0
31,1,31,356.25,897.5,42,72.3,360.081,356.601,NA,0,0,0,0
32,1,32,356.25,897.5,43,69.9,360.081,356.601,NA,0,0,0,0
33,1,33,356.25,897.5,44,67.2,360.081,356.601,NA,0,0,0,0
34,1,34,356.25,897.5,45,64.6,360.081,356.601,NA,0,0,0,0
35,1,35,356.25,897.5,46,69.7,360.081,356.601,NA,0,0,0,0
36,1,36,356.25,897.5,47,64.3,360.081,356.601,NA,0,0,0,0
37,1,37,356.25,897.5,48,64.3,360.081,356.601,NA,0,0,0,0
38,1,38,356.25,897.5,49,65.3,360.081,356.601,NA,0,0,0,0
39,1,39,356.25,897.5,50,65.3,360.081,356.601,NA,0,0,0,0
40,1,40,356.25,897.5,51,64.3,360.081,356.601,NA,0,0,0,0
41,1,41,356.25,897.5,52,60.3,360.081,356.601,NA,0,0,0,0
42,1,42,356.25,897.5,53,63.3,360.081,356.601,NA,0,0,0,0
43,1,43,356.25,897.5,54,65.3,360.081,356.601,NA,0,0,0,0
44,2,1,349.5,1172.5,0,63.7,0,0,NA,NA,NA,NA,NA
45,2,2,349.5,1172.5,1,68.7,0,0,NA,0,0,0,NA
