Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,880,310.5,0,89.9,0,0,NA,NA,NA,NA,NA
2,1,2,937.25,325.75,5,52.5,59.246,59.246,NA,59.246,11.849,14.916,NA
3,1,3,937.25,325.75,6,69.1,59.246,59.246,NA,0,0,0,-14.916
4,1,4,937.25,325.75,7,63.5,59.246,59.246,NA,0,0,0,0
5,1,5,937.25,325.75,8,54.8,59.246,59.246,NA,0,0,0,0
6,1,6,937.25,325.75,9,51.5,59.246,59.246,NA,0,0,0,0
7,1,7,937.25,325.75,10,54.8,59.246,59.246,NA,0,0,0,0
8,1,8,937.25,325.75,11,59.8,59.246,59.246,NA,0,0,0,0
9,1,9,937.25,325.75,12,65.5,59.246,59.246,NA,0,0,0,0
10,1,10,937.25,325.75,13,68.7,59.246,59.246,NA,0,0,0,0
11,1,11,998,244.75,18,84.1,160.496,135.082,NA,101.25,20.25,-53.13,-53.13
12,1,12,998,244.75,19,38.6,160.496,135.082,NA,0,0,0,53.13
13,1,13,998,244.75,20,27.9,160.496,135.082,NA,0,0,0,0
14,1,14,998,244.75,21,30.3,160.496,135.082,NA,0,0,0,0
15,1,15,998,244.75,22,32.1,160.496,135.082,NA,0,0,0,0
16,1,16,998,244.75,23,29.7,160.496,135.082,NA,0,0,0,0
17,1,17,998,244.75,24,26.4,160.496,135.082,NA,0,0,0,0
18,1,18,998,244.75,25,32.7,160.496,135.082,NA,0,0,0,0
19,1,19,998,244.75,26,51.2,160.496,135.082,NA,0,0,0,0
20,1,20,998,244.75,27,50.2,160.496,135.082,NA,0,0,0,0
21,1,21,1057.25,153.25,32,88.7,269.505,236.95,NA,109.008,21.802,-57.075,-57.075
22,1,22,1057.25,153.25,33,85.1,269.505,236.95,NA,0,0,0,57.075
23,1,23,1057.25,153.25,34,118.9,269.505,236.95,NA,0,0,0,0
24,1,24,1057.25,153.25,35,123.9,269.505,236.95,NA,0,0,0,0
25,1,25,1057.25,153.25,36,124.9,269.505,236.95,NA,0,0,0,0
26,1,26,1057.25,153.25,37,108.5,269.505,236.95,NA,0,0,0,0
27,1,27,1057.25,153.25,38,106.2,269.505,236.95,NA,0,0,0,0
28,1,28,1057.25,153.25,39,106.4,269.505,236.95,NA,0,0,0,0
29,1,29,1057.25,153.25,40,100.4,269.505,236.95,NA,0,0,0,0
30,1,30,1057.25,153.25,41,100.6,269.505,236.95,NA,0,0,0,0
31,1,31,1057.25,153.25,42,123.7,269.505,236.95,NA,0,0,0,0
32,1,32,1156.25,187,46,90,374.099,302.599,NA,104.595,26.149,18.825,18.825
33,1,33,1156.25,187,47,96.8,374.099,302.599,NA,0,0,0,-18.825
34,1,34,1156.25,187,48,95.6,374.099,302.599,NA,0,0,0,0
35,1,35,1156.25,187,49,85.5,374.099,302.599,NA,0,0,0,0
36,1,36,1156.25,187,50,88.8,374.099,302.599,NA,0,0,0,0
37,1,37,1156.25,187,51,84.1,374.099,302.599,NA,0,0,0,0
38,1,38,1156.25,187,52,74.9,374.099,302.599,NA,0,0,0,0
39,1,39,1156.25,187,53,71.4,374.099,302.599,NA,0,0,0,0
40,1,40,1156.25,187,54,61.8,374.099,302.599,NA,0,0,0,0
41,1,41,1240,206.75,58,51.8,460.147,374.652,NA,86.047,21.512,13.269,13.269
42,1,42,1240,206.75,59,57.8,460.147,374.652,NA,0,0,0,-13.269
43,1,43,1240,206.75,60,51.9,460.147,374.652,NA,0,0,0,0
44,1,44,1240,206.75,61,49.5,460.147,374.652,NA,0,0,0,0
45,1,45,1240,206.75,62,43.4,460.147,374.652,NA,0,0,0,0
46,1,46,1240,206.75,63,43.4,460.147,374.652,NA,0,0,0,0
47,1,47,1240,206.75,64,29.7,460.147,374.652,NA,0,0,0,0
48,1,48,1240.25,196.75,65,94.8,470.15,377.782,NA,10.003,10.003,-88.568,-88.568
49,1,49,1240.25,196.75,66,27.6,470.15,377.782,NA,0,0,0,88.568
50,1,50,1240.25,196.75,67,20.1,470.15,377.782,NA,0,0,0,0
51,1,51,1296,213,71,53.3,528.22,427.273,NA,58.07,14.518,16.25,16.25
52,1,52,1296,213,72,41.1,528.22,427.273,NA,0,0,0,-16.25
53,1,53,1296,213,73,40.2,528.22,427.273,NA,0,0,0,0
54,1,54,1296,213,74,41.7,528.22,427.273,NA,0,0,0,0
55,1,55,1296,213,75,41.1,528.22,427.273,NA,0,0,0,0
56,1,56,1296,213,76,40.2,528.22,427.273,NA,0,0,0,0
57,2,1,852.5,461.5,0,83,0,0,NA,NA,NA,NA,NA
58,2,2,852.5,461.5,1,91.1,0,0,NA,0,0,0,NA
59,2,3,852.5,461.5,2,94.4,0,0,NA,0,0,0,0
60,2,4,852.5,461.5,3,92.4,0,0,NA,0,0,0,0
61,2,5,852.5,461.5,4,80.4,0,0,NA,0,0,0,0
62,2,6,852.5,461.5,5,88.4,0,0,NA,0,0,0,0
63,2,7,852.5,461.5,6,85.4,0,0,NA,0,0,0,0
64,2,8,967.25,460.5,11,81.8,114.754,114.754,NA,114.754,22.951,-0.499,-0.499
65,2,9,967.25,460.5,12,91.4,114.754,114.754,NA,0,0,0,0.499
66,2,10,967.25,460.5,13,98.4,114.754,114.754,NA,0,0,0,0
67,2,11,967.25,460.5,14,95.7,114.754,114.754,NA,0,0,0,0
68,2,12,967.25,460.5,15,94.7,114.754,114.754,NA,0,0,0,0
69,2,13,967.25,460.5,16,92.3,114.754,114.754,NA,0,0,0,0
70,2,14,967.25,460.5,17,95.8,114.754,114.754,NA,0,0,0,0
71,2,15,967.25,460.5,18,99.5,114.754,114.754,NA,0,0,0,0
