fly,treatment,trial,iteration,body_length,limb_length,frame,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,head_pos,center_pos,COM_dist,COM_speed,num_feet_down,tail_pos
CA61,g100,1_00-00-53,2,3.3756, ,0,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,5,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,1,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,5,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,2,1,"(379.0, 864.5)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,6,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,3,1,"(379.0, 864.5)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,6,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,4,1,"(379.0, 864.5)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,6,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,5,1,"(379.0, 864.5)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,6,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,6,1,"(379.0, 864.5)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,6,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,7,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",1,"(106.75, 657.0)","(270.0, 865.0)","(252.0, 762.0)",0.0,0.0,5,"(208.0, 625.0)"
CA61,g100,1_00-00-53,2,3.3756, ,8,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",0,0,"(273.0, 869.5)","(252.0, 762.0)",0.11971616792863499,8.164785536479794,4,"(216.5, 630.0)"
CA61,g100,1_00-00-53,2,3.3756, ,9,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",0,0,"(273.0, 875.0)","(253.5, 771.0)",0.17468427333922476,11.913675931063922,4,"(216.0, 632.5)"
CA61,g100,1_00-00-53,2,3.3756, ,10,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",1,"(334.0, 605.25)",0,0,"(276.5, 880.5)","(264.5, 778.5)",0.1530136376358739,10.435712711739054,4,"(227.0, 640.5)"
CA61,g100,1_00-00-53,2,3.3756, ,11,0,0,1,"(222.0, 918.75)",1,"(411.0, 765.75)",1,"(136.0, 791.75)",0,0,1,"(153.75, 725.25)","(287.5, 890.5)","(270.5, 788.5)",0.12738003536680276,8.687470442748696,4,"(230.0, 648.0)"
CA61,g100,1_00-00-53,2,3.3756, ,12,1,"(388.5, 947.25)",1,"(222.0, 918.75)",1,"(411.0, 765.75)",0,0,0,0,1,"(153.75, 725.25)","(288.0, 899.0)","(272.5, 798.0)",0.24193580399851175,16.500310588133793,4,"(239.0, 657.5)"
