fly,treatment,trial,iteration,body_length,limb_length,frame,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,head_pos,center_pos,COM_dist,COM_speed,num_feet_down,tail_pos
CA62,glass,2_00-02-09,4,2.8657, ,0,1,"(995.0, 378.75)",1,"(889.75, 184.5)",1,"(1058.5, 423.75)",1,"(1051.25, 55.0)",1,"(1224.5, 321.5)",1,"(1154.0, 160.25)","(968.0, 268.0)","(1048.0, 242.5)",0.1430237522783883,11.607893052927931,6,"(1173.5, 240.0)"
CA62,glass,2_00-02-09,4,2.8657, ,1,1,"(995.0, 378.75)",1,"(889.75, 184.5)",1,"(1058.5, 423.75)",1,"(1051.25, 55.0)",1,"(1224.5, 321.5)",1,"(1154.0, 160.25)","(962.5, 269.5)","(1038.0, 243.0)",0.2931810757362075,23.79475099817044,6,"(1168.0, 242.0)"
CA62,glass,2_00-02-09,4,2.8657, ,2,0,0,1,"(889.75, 184.5)",1,"(1058.5, 424.0)",0,0,0,0,1,"(1154.0, 160.25)","(951.0, 272.5)","(1017.5, 244.0)",0.07856491890671917,6.37637568483061,3,"(1157.0, 242.0)"
CA62,glass,2_00-02-09,4,2.8657, ,3,0,0,1,"(889.75, 184.5)",1,"(1058.5, 424.0)",0,0,0,0,1,"(1154.0, 160.25)","(935.0, 277.0)","(1012.0, 244.0)",0.08570718426187546,6.956046201633393,3,"(1144.5, 240.5)"
CA62,glass,2_00-02-09,4,2.8657, ,4,0,0,1,"(889.75, 184.5)",1,"(1058.5, 424.0)",0,0,0,0,1,"(1154.0, 160.25)","(930.5, 279.5)","(1006.0, 244.0)",0.1648920001002088,13.382733091221166,3,"(1131.0, 234.5)"
CA62,glass,2_00-02-09,4,2.8657, ,5,0,0,1,"(889.75, 184.5)",1,"(1058.5, 424.0)",1,"(915.0, 113.0)",0,0,1,"(1154.0, 160.25)","(918.5, 284.0)","(994.5, 245.0)",0.1585840266890352,12.870774206272513,4,"(1118.5, 234.0)"
CA62,glass,2_00-02-09,4,2.8657, ,6,0,0,1,"(889.75, 184.5)",1,"(1058.5, 424.0)",1,"(915.0, 113.0)",0,0,1,"(1154.0, 160.25)","(915.0, 286.0)","(983.5, 246.5)",0.09394183366211019,7.624375259175017,4,"(1113.5, 233.5)"
CA62,glass,2_00-02-09,4,2.8657, ,7,1,"(883.5, 401.5)",1,"(889.75, 184.5)",1,"(1058.5, 424.0)",1,"(915.0, 113.0)",0,0,1,"(1154.0, 160.25)","(905.0, 285.5)","(977.0, 247.5)",0.0735341224654743,5.968073244636243,5,"(1102.5, 234.5)"
CA62,glass,2_00-02-09,4,2.8657, ,8,1,"(883.5, 401.5)",0,0,1,"(1058.5, 424.0)",1,"(915.0, 113.0)",0,0,1,"(1148.75, 161.25)","(895.0, 285.0)","(972.5, 250.0)",0.10713398032734432,8.695057752041743,4,"(1102.5, 234.5)"
CA62,glass,2_00-02-09,4,2.8657, ,9,1,"(883.5, 401.5)",0,0,1,"(1058.5, 424.0)",1,"(915.0, 113.0)",1,"(1105.25, 324.0)",0,0,"(894.0, 285.5)","(966.5, 254.5)",0.11292913087802653,9.165395627718498,4,"(1092.5, 243.0)"
