fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
CA61,glass,2_00-01-21,4,3.3756,0.01470129900678024,12,17,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.587375388353151,0.0,1.5423999435538918,29.045208702671417,"(549.0, 1011.25)","(472.25, 933.0)",6,10,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.6667192060115967,0.0,1.4291948026688053,32.300192197119614,"(351.25, 1112.25)","(284.5, 1018.5)",8,11,0.0125,0.0375,0.05,0.7499999999999999,1.235368185798465,0.0,1.6262537489814375,31.732804759922022,"(485.5, 890.25)","(434.0, 822.25)",14,17,0.0125,0.03333333333333333,0.04583333333333333,0.7272727272727273,1.2077947158214595,0.0,2.1560950479230847,29.972023006094982,"(276.5, 1054.75)","(224.25, 989.75)",12,19,0.029166666666666667,0.029166666666666667,0.058333333333333334,0.5,1.5565159435287044,0.0,1.3360519157425843,28.876637625418812,"(421.5, 864.75)","(361.25, 775.75)",7,12,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.5194389491694715,0.0,1.4905074646009029,31.36457726640928,"(234.25, 923.75)","(180.75, 833.5)"
CA61,glass,2_00-01-21,4,3.3756,0.01470129900678024,25,31,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.5423999435538918,0.0,1.2432642905782534,23.79468397593524,"(603.5, 1102.75)","(549.0, 1011.25)",19,23,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.4291948026688053,0.0,1.346733347649896,28.071343866942808,"(414.5, 1188.0)","(351.25, 1112.25)",20,24,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.6262537489814375,0.0,1.3376747576563366,26.20519758064249,"(558.0, 976.0)","(485.5, 890.25)",25,30,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,2.1560950479230847,0.0,1.779771848155278,23.730659078701354,"(351.25, 1183.5)","(276.5, 1054.75)",26,32,0.025,0.025,0.05,0.5,1.3360519157425843,0.08327419658503381,1.6109793919792657,23.53167248632902,"(461.25, 948.0)","(421.5, 864.75)",20,26,0.025,0.020833333333333332,0.04583333333333333,0.45454545454545453,1.4905074646009029,0.05893937854313496,1.7366059526555113,28.325731052354612,"(285.5, 1013.0)","(234.25, 923.75)"
CA61,glass,2_00-01-21,4,3.3756,0.01470129900678024,38,42,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.2432642905782534,0.0,1.4185890699194077,29.044843366348417,"(650.25, 1174.75)","(603.5, 1102.75)",31,36,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.346733347649896,0.0,1.6080147215092309,28.014501057525052,"(479.5, 1254.5)","(414.5, 1188.0)",33,36,0.0125,0.0375,0.05,0.7499999999999999,1.3376747576563366,0.07029967066484524,1.2848039724179479,30.473812850855673,"(608.25, 1053.5)","(558.0, 976.0)",39,43,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.779771848155278,0.0,0.9659451249450194,27.19954693707602,"(431.0, 1277.0)","(351.25, 1183.5)",38,47,0.0375,0.020833333333333332,0.058333333333333334,0.3571428571428571,1.663916883983078,0.0,1.4240398985673608,27.436461608382043,"(548.5, 1017.0)","(461.25, 942.25)",31,38,0.029166666666666667,0.029166666666666667,0.058333333333333334,0.5,1.794106265635941,0.0,1.4274464279975845,28.21153882129485,"(344.75, 1117.25)","(282.75, 1010.0)"
CA61,glass,2_00-01-21,4,3.3756,0.01470129900678024,50,,,,,,,,,,,"(650.25, 1174.75)",43,,,,,,,,,,,"(479.5, 1254.5)",45,,,,,,,,,,,"(612.25, 1056.25)",53,,,,,,,,,,,"(431.0, 1277.0)",52,,,,,,,,,,,"(548.5, 1017.0)",45,,,,,,,,,,,"(344.75, 1117.25)"
CA61,glass,2_00-01-24,4,3.3756,0.01470129900678024,15,20,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.6360678282520744,0.0,2.0991520609428203,27.70544361186644,"(741.0, 1362.0)","(709.0, 1253.5)",9,14,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.27417045808207,0.0,1.376889003705791,24.964294431820452,"(563.0, 1424.0)","(552.75, 1336.5)",10,14,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.6577593126606585,0.0,1.4973625009796134,25.93442498755215,"(720.75, 1232.5)","(667.5, 1131.0)",19,22,0.0125,0.03333333333333333,0.04583333333333333,0.7272727272727273,0.8294059060299087,0.0,1.6630662473092945,30.99579480798133,"(467.75, 1382.5)","(476.0, 1325.75)",17,23,0.025,0.025,0.05,0.5,1.6445203998247135,0.05435683667878034,1.408941796682182,31.882091408854517,"(654.5, 1197.5)","(603.25, 1096.0)",11,16,0.020833333333333332,0.008333333333333333,0.029166666666666667,0.2857142857142857,0.3608886502509821,0.0,1.6389619890641116,23.682949608886368,"(424.5, 1210.0)","(409.25, 1190.25)"
CA61,glass,2_00-01-24,4,3.3756,0.01470129900678024,28,32,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,2.0991520609428203,0.0,1.2758110963977045,30.625149675283588,"(762.75, 1505.5)","(741.0, 1362.0)",23,28,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.376889003705791,0.0,1.5664560287245255,34.637017449250905,"(553.75, 1518.75)","(563.0, 1424.0)",24,28,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.4973625009796134,0.0,1.4218732236241631,36.67125705409823,"(758.25, 1329.0)","(720.75, 1232.5)",30,34,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.6630662473092945,0.0,1.4604907748809308,28.9611555924083,"(480.75, 1496.75)","(467.75, 1382.5)",29,35,0.025,0.025,0.05,0.5,1.459774470523129,0.19528467793517915,1.3710227586114399,29.602655932885455,"(683.5, 1290.5)","(654.75, 1193.75)",18,29,0.04583333333333333,0.029166666666666667,0.075,0.3888888888888889,1.6389619890641116,0.0,1.3424612702083112,33.254816960126476,"(489.25, 1303.0)","(424.5, 1210.0)"
CA61,glass,2_00-01-24,4,3.3756,0.01470129900678024,40,45,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.2758110963977045,0.0,1.6874815786702624,32.04817544925714,"(781.25, 1591.75)","(762.75, 1505.5)",34,40,0.025,0.025,0.05,0.5,1.5664560287245255,0.0,1.5283561138558734,29.641141997010312,"(578.25, 1624.25)","(553.75, 1518.75)",35,39,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.4218732236241631,0.0,1.8377504452694764,26.197632379291157,"(774.25, 1426.0)","(758.25, 1329.0)",42,46,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.4604907748809308,0.0,1.5617785110951128,32.44401384701407,"(519.5, 1590.0)","(480.75, 1496.75)",41,48,0.029166666666666667,0.025,0.05416666666666667,0.46153846153846156,1.5570887756689866,0.0,1.389982277646811,32.224546014558065,"(712.5, 1380.75)","(683.75, 1277.0)",36,40,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.3424612702083112,0.04824029516242128,1.6750975727959396,26.659528343708622,"(506.25, 1394.25)","(489.25, 1303.0)"
CA61,glass,2_00-01-24,4,3.3756,0.01470129900678024,53,,,,,,,,,,,"(781.25, 1591.75)",46,,,,,,,,,,,"(578.25, 1624.25)",48,,,,,,,,,,,"(774.25, 1426.0)",54,,,,,,,,,,,"(519.5, 1590.0)",54,,,,,,,,,,,"(712.5, 1380.75)",48,,,,,,,,,,,"(503.0, 1395.0)"
CA61,glass,2_00-00-35,4,3.3756,0.01470129900678024,0,6,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.618886407399362,0.0,1.7478977381207712,35.890272302168896,"(549.5, 960.25)","(478.0, 875.0)",6,12,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,2.153983965314613,0.0,1.4902131141859896,32.66494666746321,"(455.0, 1118.25)","(369.0, 997.75)",9,13,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.4074374675877175,0.0,1.7513612612247114,30.788036307640432,"(567.0, 918.0)","(492.75, 856.0)",1,6,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.2881059409105078,0.0,2.010017026229632,36.176614094507485,"(315.5, 1022.75)","(282.75, 940.5)",1,8,0.029166666666666667,0.025,0.05416666666666667,0.46153846153846156,1.8350519536425,0.0,1.580688696422619,36.176614094507485,"(440.25, 808.75)","(379.0, 698.5)",6,13,0.029166666666666667,0.029166666666666667,0.058333333333333334,0.5,1.6710401527213545,0.0,1.4544829843806912,33.248885925611035,"(319.0, 967.5)","(245.5, 879.25)"
CA61,glass,2_00-00-35,4,3.3756,0.01470129900678024,13,19,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.7478977381207712,0.0,1.1925242558220788,27.563947755800424,"(626.75, 1052.25)","(549.5, 960.25)",19,24,0.020833333333333332,0.03333333333333333,0.05416666666666667,0.6153846153846153,1.4902131141859896,0.0,1.1135707341700152,28.832150266408043,"(524.75, 1193.25)","(455.0, 1118.25)",21,25,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.7513612612247114,0.0,1.289927899252362,28.786756369924177,"(645.5, 1009.25)","(567.0, 918.0)",14,19,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,2.010017026229632,0.0,1.469470119705539,26.878234443169948,"(407.0, 1126.25)","(315.5, 1022.75)",14,20,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.580688696422619,0.2048641381937014,1.3675385474846085,27.163813737327096,"(509.75, 892.25)","(440.25, 808.75)",20,26,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.4544829843806912,0.0,1.309206048887902,28.290267705628125,"(382.75, 1044.5)","(319.0, 967.5)"
