,fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
0,CA61,g60,1_00-00-17,3,3.3756,0.0147012990067802,1.0,7.0,0.025,0.0625,0.0875,0.7142857142857143,2.066731018665686,0.0,1.8012442408840177,25.53908414698584,"(172.75, 1088.5)","(162.0, 937.75)",5.0,13.0,0.0333333333333333,0.075,0.1083333333333333,0.6923076923076923,2.709932215277865,0.0,1.4884491037331942,22.287130054947227,"(379.25, 1076.25)","(214.75, 965.75)",7.0,12.0,0.0208333333333333,0.025,0.0458333333333333,0.5454545454545455,1.591801282628869,0.0,1.1263883151239835,20.60643950593552,"(145.75, 900.25)","(111.5, 789.0)",2.0,7.0,0.0208333333333333,0.0791666666666666,0.1,0.7916666666666666,1.352838164140156,0.0,0.7744317610744006,24.911284600666303,"(396.5, 960.0)","(299.0, 943.25)",3.0,7.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,0.9257952476064688,0.0,0.9984164601126846,33.62393278194757,"(188.5, 783.5)","(223.0, 725.25)",22.0,27.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,0.4953743358886302,0.0,0.8203962707118414,17.90954956985054,"(379.5, 877.0)","(392.0, 843.0)"
1,CA61,g60,1_00-00-17,3,3.3756,0.0147012990067802,22.0,28.0,0.025,0.0416666666666666,0.0666666666666666,0.625,1.8012442408840177,0.0,1.2018829052457414,18.711311656345448,"(264.25, 1183.25)","(172.75, 1088.5)",31.0,36.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.4884491037331942,0.1720611479034497,1.3710782872171905,17.716296817926906,"(461.75, 1147.25)","(379.25, 1076.25)",18.0,22.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.1263883151239835,0.0,1.5001501406357292,17.800241880169075,"(162.0, 981.0)","(145.75, 900.25)",26.0,30.0,0.0166666666666666,0.05,0.0666666666666666,0.75,0.7744317610744006,0.0,1.0035947642459997,16.471661352142487,"(450.75, 976.25)","(396.5, 960.0)",15.0,20.0,0.0208333333333333,0.0208333333333333,0.0416666666666666,0.5,0.9984164601126846,0.0,1.158950585629013,17.784144113413994,"(167.75, 853.5)","(188.5, 783.5)",36.0,39.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,0.8203962707118414,0.0,0.5526200216178242,18.1459960057726,"(395.75, 934.75)","(379.5, 877.0)"
2,CA61,g60,1_00-00-17,3,3.3756,0.0147012990067802,38.0,43.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.2018829052457414,0.0,1.5015635730648795,16.947822068740216,"(343.5, 1221.25)","(264.25, 1183.25)",46.0,,,,,,,,,,,"(457.25, 1135.5)",31.0,37.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.5001501406357292,0.0,2.3246632233823274,16.08233569571766,"(227.5, 1069.0)","(162.0, 981.0)",42.0,46.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.0035947642459997,0.0,0.6476672696845066,18.22791372162497,"(475.75, 1045.25)","(450.75, 976.25)",25.0,31.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.158950585629013,0.0,1.5289728062295205,17.863077568082907,"(179.0, 937.5)","(167.75, 853.5)",49.0,,,,,,,,,,,"(395.75, 934.75)"
3,CA61,g60,1_00-00-17,3,3.3756,0.0147012990067802,52.0,,,,,,,,,,,"(343.5, 1221.25)",,,,,,,,,,,,,44.0,,,,,,,,,,,"(227.5, 1069.0)",55.0,,,,,,,,,,,"(475.75, 1045.25)",39.0,44.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.5289728062295205,0.0,1.4012803501798403,15.808128100812434,"(212.25, 1044.25)","(179.0, 937.5)",,,,,,,,,,,,
4,CA61,g60,1_00-00-17,3,3.3756,0.0147012990067802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,"(212.25, 1044.25)",,,,,,,,,,,,
5,CA61,g60,1_00-00-12,3,3.3756,0.0147012990067802,13.0,19.0,0.025,0.0458333333333333,0.0708333333333333,0.6470588235294117,1.5111217656381464,0.0,1.3059044363562964,21.578680395673015,"(476.5, 808.75)","(580.0, 769.0)",7.0,12.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.4636146347384185,0.0,1.1346835004042697,23.391479153599388,"(584.0, 706.25)","(688.0, 679.5)",6.0,12.0,0.025,0.0375,0.0625,0.6,1.2002212593500083,0.3496858819478177,0.7751883211678268,20.272615266452803,"(559.0, 944.5)","(632.0, 895.25)",15.0,19.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,2.0679416112771105,0.0,1.6365899571810123,19.64552472186349,"(694.75, 657.0)","(811.0, 754.5)",13.0,20.0,0.0291666666666666,0.0333333333333333,0.0625,0.5333333333333333,0.8618221219776253,0.0,1.0470192620764005,20.431799587669435,"(665.5, 964.0)","(689.5, 1022.5)",7.0,11.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.6275945780305507,0.0,2.136426738928083,21.72065921405657,"(840.75, 797.75)","(892.75, 905.25)"
6,CA61,g60,1_00-00-12,3,3.3756,0.0147012990067802,30.0,34.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.3059044363562964,0.0,1.1918340425505154,27.907490523772,"(380.75, 812.25)","(476.5, 808.75)",20.0,26.0,0.025,0.0375,0.0625,0.6,1.1346835004042697,0.0,1.95123661556724,23.894961688118137,"(504.75, 680.75)","(584.0, 706.25)",21.0,25.0,0.0166666666666666,0.05,0.0666666666666666,0.75,1.1247144372143212,0.0,1.0190907177570458,25.330618610190143,"(526.25, 898.0)","(573.0, 966.0)",27.0,32.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.6365899571810123,0.0473370650780355,2.204785654133299,27.69512319335894,"(575.25, 645.25)","(694.75, 657.0)",28.0,34.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.0470192620764005,0.0765717129331285,1.6400766059134246,27.30197886897963,"(614.0, 907.0)","(665.5, 964.0)",21.0,26.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,2.136426738928083,0.0,1.8473651950277117,25.18651972485445,"(708.25, 714.0)","(840.75, 797.75)"
7,CA61,g60,1_00-00-12,3,3.3756,0.0147012990067802,44.0,,,,,,,,,,,"(380.75, 812.25)",35.0,,,,,,,,,,,"(504.75, 680.75)",37.0,,,,,,,,,,,"(526.25, 898.0)",40.0,,,,,,,,,,,"(577.0, 648.25)",41.0,,,,,,,,,,,"(617.0, 902.25)",34.0,,,,,,,,,,,"(708.25, 714.0)"
8,CA61,g60,1_00-00-24,3,3.3756,0.0147012990067802,0.0,5.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.8912614591384755,0.0,1.1116371664250957,23.23823828186591,"(606.0, 1176.0)","(725.0, 1245.75)",5.0,11.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,2.3698858918929315,0.0,1.6103754571658146,23.834699344429804,"(772.25, 1176.25)","(810.75, 1344.75)",8.0,12.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,0.6589430000055171,0.0,0.9194273744853552,23.28246493133094,"(527.5, 1233.5)","(571.75, 1252.25)",1.0,4.0,0.0125,0.0375,0.05,0.7499999999999999,1.5527690212492335,0.0,1.926479700132081,26.44103944451033,"(784.75, 1394.0)","(769.75, 1506.25)",17.0,22.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,0.524544997441406,0.1066485119596672,1.3188485462136157,23.739875691016287,"(516.25, 1352.25)","(500.25, 1387.0)",5.0,11.0,0.025,0.0416666666666666,0.0666666666666666,0.625,1.7905557797453506,0.0,1.547781884621951,23.17792252992302,"(733.25, 1416.75)","(688.0, 1539.25)"
9,CA61,g60,1_00-00-24,3,3.3756,0.0147012990067802,15.0,18.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.1116371664250957,0.0,0.8150197591783152,21.74053242189098,"(568.25, 1104.25)","(606.0, 1176.0)",19.0,25.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.6103754571658146,0.0,1.268499241131548,25.23615435059885,"(694.75, 1088.0)","(772.25, 1176.25)",23.0,26.0,0.0125,0.0333333333333333,0.0458333333333333,0.7272727272727273,0.9194273744853552,0.2829347665014425,1.279130114094433,25.28696957478665,"(472.25, 1195.5)","(527.5, 1233.5)",13.0,17.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.926479700132081,0.1508627194120161,1.3403844635151037,21.980948741386257,"(785.75, 1253.5)","(784.75, 1394.0)",29.0,34.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.391708963862932,0.0,1.009879319995195,27.227745450699107,"(522.25, 1256.25)","(521.75, 1357.75)",21.0,26.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.547781884621951,0.0680401453162335,1.276049142653186,25.356076340486894,"(727.75, 1304.0)","(733.25, 1416.75)"
