,fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
0,CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,1.0,7.0,0.025,0.0375,0.0625,0.6,1.6255402114785489,0.0,1.809799869692152,32.12870093188363,"(883.5, 401.5)","(995.0, 378.75)",7.0,12.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.769675510005937,0.0,1.6749525955565443,33.260346611349185,"(770.0, 216.25)","(889.75, 184.5)",10.0,15.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,2.0348124722167658,0.0,1.4510053046402838,35.241995633789834,"(919.75, 456.25)","(1058.5, 424.0)",1.0,5.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,2.115271447740311,0.0,1.6410005527095828,32.07453479755694,"(915.0, 113.0)","(1051.25, 55.0)",1.0,9.0,0.0333333333333333,0.025,0.0583333333333333,0.4285714285714286,1.7038045786493907,0.0557828756753487,1.8177766913108708,32.07453479755694,"(1105.25, 324.0)","(1224.5, 321.5)",8.0,13.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.8266963259985785,0.0,1.9964548104836728,34.50655481558377,"(1024.5, 191.5)","(1148.75, 161.25)"
1,CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,16.0,21.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.809799869692152,0.0,1.7531351932459214,39.19275406241773,"(759.5, 427.5)","(883.5, 401.5)",21.0,26.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.6749525955565443,0.0,1.9212992503737136,42.768307225069954,"(653.0, 208.5)","(770.0, 216.25)",22.0,26.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4510053046402838,0.0,1.6942757166910667,40.93630094103814,"(818.25, 460.25)","(919.75, 456.25)",15.0,19.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.6410005527095828,0.0,1.7267931328721418,38.71350937891399,"(806.5, 150.75)","(915.0, 113.0)",15.0,21.0,0.025,0.0208333333333333,0.0458333333333333,0.4545454545454545,1.7824245491005923,0.0,1.898674223172191,38.6351508187243,"(980.0, 346.5)","(1102.25, 321.5)",21.0,27.0,0.025,0.0166666666666666,0.0416666666666666,0.4,1.9964548104836728,0.0,1.7954275746051165,40.926414470403714,"(886.0, 210.25)","(1024.5, 191.5)"
2,CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,28.0,,,,,,,,,,,"(759.5, 427.5)",34.0,,,,,,,,,,,"(653.0, 208.5)",35.0,,,,,,,,,,,"(818.25, 460.25)",28.0,,,,,,,,,,,"(806.5, 150.75)",26.0,,,,,,,,,,,"(980.0, 346.5)",31.0,,,,,,,,,,,"(886.0, 210.25)"
3,CA62,glass,1_00-00-06,4,2.8657,0.0128930278373364,5.0,9.0,0.0166666666666666,0.0541666666666666,0.0708333333333333,0.7647058823529412,1.084190487091565,0.0,1.327046877979296,19.725170189386382,"(503.25, 362.25)","(573.75, 333.0)",15.0,19.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.403903036062515,0.0,1.1011328912865084,19.736047322680648,"(472.75, 161.0)","(568.5, 136.5)",18.0,21.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.3981063340047288,0.0,1.1268075201218488,20.090305210852478,"(583.5, 470.5)","(672.75, 429.0)",9.0,13.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,0.974086478860084,0.0,1.3515654857130353,18.345869715560603,"(680.0, 122.25)","(737.25, 84.5)",10.0,15.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.292559977969695,0.0,1.204442643085034,18.171161649781208,"(761.0, 415.0)","(847.5, 386.75)",6.0,9.0,0.0125,0.0333333333333333,0.0458333333333333,0.7272727272727273,0.617550679707111,0.0,0.9796245897822246,22.04665022666229,"(815.75, 198.25)","(858.0, 208.5)"
4,CA62,glass,1_00-00-06,4,2.8657,0.0128930278373364,22.0,26.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.327046877979296,0.0,1.4825303212661982,23.317256698928745,"(411.25, 378.5)","(503.25, 362.25)",29.0,34.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.1011328912865084,0.0,1.3486185497883236,26.068596806298604,"(395.25, 162.75)","(472.75, 161.0)",31.0,35.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.1268075201218488,0.0,2.2303539471349065,27.020035315036875,"(504.25, 474.0)","(583.5, 470.5)",22.0,26.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.3515654857130353,0.0,1.3933357670785984,23.317256698928745,"(586.0, 137.0)","(680.0, 122.25)",25.0,30.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.204442643085034,0.0,1.4368066242889002,25.45825485350381,"(677.5, 429.75)","(761.0, 415.0)",17.0,22.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,0.9796245897822246,0.2157150930182875,1.2533046451579042,21.01709285819254,"(747.25, 206.25)","(815.75, 198.25)"
5,CA62,glass,1_00-00-06,4,2.8657,0.0128930278373364,36.0,,,,,,,,,,,"(411.25, 378.5)",42.0,,,,,,,,,,,"(395.25, 162.75)",44.0,,,,,,,,,,,"(504.25, 474.0)",36.0,,,,,,,,,,,"(586.0, 137.0)",37.0,,,,,,,,,,,"(677.5, 429.75)",30.0,35.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.133174235134211,0.1528639435371511,1.1164646174700643,24.64546708079786,"(663.25, 233.25)","(742.0, 220.5)"
6,CA62,glass,1_00-00-06,4,2.8657,0.0128930278373364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,"(657.75, 242.5)"
7,CA62,glass,1_00-00-39,4,2.8657,0.0128930278373364,9.0,13.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.4928738970025617,0.0,1.1359687610558415,30.96735759230607,"(705.25, 246.75)","(665.0, 344.0)",2.0,7.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.6667485974540754,0.0,1.6332132578994736,25.935460516706065,"(729.0, 482.5)","(623.5, 534.25)",4.0,6.0,0.0083333333333333,0.0458333333333333,0.0541666666666666,0.846153846153846,0.4214383293761546,0.0,1.3069724345417812,32.475808382389275,"(546.0, 280.0)","(520.5, 295.25)",9.0,13.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,2.5951454833348118,0.0,1.305918527187357,30.96735759230607,"(707.25, 524.75)","(532.75, 579.75)",11.0,15.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,0.9546735442248658,0.0,1.6312256955694824,31.92943136604144,"(460.0, 346.5)","(392.75, 343.75)",3.0,7.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.3924621485224742,0.0,1.819271834413281,28.293229654588437,"(454.75, 526.5)","(359.75, 501.75)"
8,CA62,glass,1_00-00-39,4,2.8657,0.0128930278373364,21.0,25.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.1359687610558415,0.0,1.3864894229650873,31.305824293883184,"(756.25, 185.0)","(705.25, 246.75)",14.0,20.0,0.025,0.025,0.05,0.5,1.6332132578994736,0.0,1.7223129152781256,30.67459495837661,"(823.0, 416.0)","(729.0, 482.5)",17.0,20.0,0.0125,0.0375,0.05,0.7499999999999999,1.3069724345417812,0.0,1.230020428970983,27.802155947227707,"(606.5, 210.5)","(546.0, 280.0)",21.0,25.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.305918527187357,0.0,2.34697833891254,32.84637877269909,"(779.75, 468.0)","(707.25, 524.75)",22.0,27.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.6312256955694824,0.0,1.483592600108354,34.98025754511882,"(575.0, 347.5)","(460.0, 346.5)",14.0,20.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.819271834413281,0.0,1.818079183107746,31.327204422156807,"(575.5, 483.25)","(454.75, 526.5)"
9,CA62,glass,1_00-00-39,4,2.8657,0.0128930278373364,32.0,,,,,,,,,,,"(756.25, 185.0)",26.0,31.0,0.0208333333333333,0.025,0.0458333333333333,0.5454545454545455,1.7223129152781256,0.0,2.0159301469681474,34.35672947797003,"(917.5, 339.75)","(823.0, 416.0)",29.0,32.0,0.0125,0.0291666666666666,0.0416666666666666,0.7000000000000001,1.230020428970983,0.0,1.2601559230921835,37.94159109173263,"(673.75, 155.75)","(606.5, 210.5)",33.0,,,,,,,,,,,"(779.75, 468.0)",34.0,,,,,,,,,,,"(575.0, 347.5)",27.0,32.0,0.0208333333333333,0.025,0.0458333333333333,0.5454545454545455,1.818079183107746,0.0,1.8238519517246543,34.38946775996226,"(694.75, 436.25)","(575.5, 483.25)"
