fly,treatment,body_length,body_length_sd,limb_length,limb_length_sd,L1_swing,L1_swing_sd,L1_stance,L1_stance_sd,L1_period,L1_period_sd,L1_duty_factor,L1_duty_factor_sd,L1_step_length,L1_step_length_sd,L1_pull_back,L1_pull_back_sd,L1_stride_length,L1_stride_length_sd,R1_swing,R1_swing_sd,R1_stance,R1_stance_sd,R1_period,R1_period_sd,R1_duty_factor,R1_duty_factor_sd,R1_step_length,R1_step_length_sd,R1_pull_back,R1_pull_back_sd,R1_stride_length,R1_stride_length_sd,L2_swing,L2_swing_sd,L2_stance,L2_stance_sd,L2_period,L2_period_sd,L2_duty_factor,L2_duty_factor_sd,L2_step_length,L2_step_length_sd,L2_pull_back,L2_pull_back_sd,L2_stride_length,L2_stride_length_sd,R2_swing,R2_swing_sd,R2_stance,R2_stance_sd,R2_period,R2_period_sd,R2_duty_factor,R2_duty_factor_sd,R2_step_length,R2_step_length_sd,R2_pull_back,R2_pull_back_sd,R2_stride_length,R2_stride_length_sd,L3_swing,L3_swing_sd,L3_stance,L3_stance_sd,L3_period,L3_period_sd,L3_duty_factor,L3_duty_factor_sd,L3_step_length,L3_step_length_sd,L3_pull_back,L3_pull_back_sd,L3_stride_length,L3_stride_length_sd,R3_swing,R3_swing_sd,R3_stance,R3_stance_sd,R3_period,R3_period_sd,R3_duty_factor,R3_duty_factor_sd,R3_step_length,R3_step_length_sd,R3_pull_back,R3_pull_back_sd,R3_stride_length,R3_stride_length_sd,cum_swing,cum_swing_sd,cum_stance,cum_stance_sd,cum_period,cum_period_sd,cum_duty_factor,cum_duty_factor_sd,cum_step_length,cum_step_length_sd,cum_pull_back,cum_pull_back_sd,cum_stride_length,cum_stride_length_sd,speed,speed_sd,Froude_number
CA61,glass,[3.3756], , , ,0.020833333333333332,0.003402069087198859,0.03194444444444444,0.001964185503295965,0.05277777777777778,0.001964185503295965,0.6068376068376068,0.05268729917067501,1.3612761835293838,0.15583347325243785,0.0,0.0,1.30873497301575,0.12948906799683038,0.018055555555555554,0.0019641855032959646,0.03333333333333333,0.0034020690871988577,0.051388888888888894,0.0034020690871988577,0.6474358974358974,0.046520386874096695,1.382944258473283,0.14179793268893892,0.0,0.0,1.3646702377649997,0.1196416722118867,0.013888888888888888,0.0019641855032959646,0.0375,0.0,0.051388888888888894,0.0,0.7307692307692307,0.027196414661021014,1.307192037683484,0.1659401809026677,0.021883466798232717,0.030996709249880287,1.3225808209437868,0.15284265022153112,0.016666666666666666,0.0034020690871988577,0.0375,0.0034020690871988577,0.05416666666666667,0.0034020690871988577,0.6948051948051948,0.03711348095126029,1.6011618125779128,0.37180581130668044,0.0,0.0,1.5258768582949425,0.46958487433669027,0.030555555555555558,0.005196746370519362,0.025000000000000005,0.003402069087198859,0.05555555555555555,0.003402069087198859,0.45238095238095233,0.0673435029701474,1.4183805080828593,0.14322125646496958,0.025922285252317448,0.036717470155297055,1.3606634385468717,0.12402228908070582,0.025,0.003402069087198859,0.027777777777777776,0.005196746370519364,0.05277777777777778,0.005196746370519364,0.5233100233100232,0.06769946727952261,1.4954455164940204,0.14513526579605104,0.01834714048101726,0.025987700408727214,1.448910142404681,0.14130437050119196,0.02036612300373768,0.005858921668741274,0.030249745158002037,0.006186627399697998,0.05061586816173972,0.005683989102565325,0.5968322254254975,0.10427580191115399,1.3543312551926474,0.26848852796634315,0.010082140381817997,0.03038571880423981,1.3806877212044406,0.22582555098596727,25.686294618867095,4.186047083472035, 
CA61,g24,[3.2404], , , ,0.028124999999999994,0.009936866681426517,0.05729166666666665,0.028163553822074534,0.08541666666666667,0.028163553822074534,0.6395368492224476,0.16320691953207464,1.418561602708535,0.1312541762955411,0.03850637835444831,0.0667830213063669,1.3111201083881796,0.20655610416481093,0.027499999999999997,0.005,0.04000000000000001,0.01911224156863286,0.06749999999999999,0.01911224156863286,0.5565476190476192,0.17626893522019016,1.2451416677199976,0.16617822339087332,0.05123550319857033,0.10259779093545504,1.342974469050083,0.32941418093115904,0.020833333333333336,0.0052704627669473,0.04666666666666666,0.008897565210026095,0.06749999999999999,0.008897565210026095,0.6939633173843701,0.03885102973723811,1.0241764584928437,0.36655354220097724,0.026839353280614587,0.05374512173824327,1.1138036153479998,0.44356429814637194,0.016666666666666663,3.469446951953614e-18,0.06875,0.028028383431403563,0.08541666666666667,0.028028383431403563,0.787704248366013,0.05292495704401642,1.6351527710128764,0.3968663611093626,0.0,0.0,1.3543834273439437,0.17357729607321926,0.018055555555555554,0.003928371006591931,0.04652777777777777,0.0037396977827322967,0.06458333333333334,0.0037396977827322967,0.7214169000933707,0.052793139014825616,0.9267817924662105,0.352350014686614,0.10767750776306775,0.16846470340633257,1.0132795101256913,0.39999639918933017,0.0225,0.007264831572567789,0.04666666666666666,0.01379412113103904,0.06916666666666667,0.01379412113103904,0.6681022408963585,0.10167288304231804,1.2000703841932328,0.33832049974964634,0.07446699117201454,0.07747975226059922,1.0682832265439102,0.39747282618974056,0.02236642872593554,0.0062076094872767175,0.046187540558079165,0.015791946905473208,0.06855396928401469,0.015615452979779725,0.6612021689597712,0.10941209890922755,1.3571175870014973,0.4420856966971139,0.03923900084718203,0.09869532572295511,1.323075544976427,0.40426928064442913,20.055163104336618,3.21251792263059, 
CA61,g60,[3.3247], , , ,0.023611111111111107,0.0019641855032959663,0.047222222222222214,0.010936122047238627,0.07083333333333333,0.010936122047238627,0.6607142857142858,0.03857583749052299,1.6714863341098878,0.3651839527452485,0.0,0.0,1.486450169004971,0.24777829524778594,0.027083333333333334,0.00625,0.05833333333333333,0.016666666666666666,0.08541666666666668,0.016666666666666666,0.6794871794871796,0.012820512820512832,2.07625246269361,0.6111133547237813,0.08509050391653718,0.08524616727937569,1.414140435676069,0.08388701476852939,0.020833333333333332,0.003402069087198859,0.03055555555555556,0.005196746370519362,0.05138888888888889,0.005196746370519362,0.5920745920745921,0.07093297927600437,1.3907484186263581,0.20798180259160404,0.0,0.0,1.6323663651134428,0.5004790583476013,0.01805555555555555,0.001964185503295965,0.05555555555555555,0.017458062624967408,0.0736111111111111,0.017458062624967408,0.7446581196581197,0.040738623856704306,1.0322177410640963,0.23954748386864874,0.0,0.0,0.7997292818248778,0.1497830575683815,0.020833333333333332,0.0029462782549439484,0.03229166666666667,0.0074389879463988015,0.053125,0.0074389879463988015,0.6011904761904762,0.07017753644375947,1.1404343878213345,0.23564215434242217,0.0,0.0,1.2580067377555506,0.21128759157383598,0.016666666666666666,0.004166666666666666,0.03958333333333334,0.002083333333333333,0.056249999999999994,0.002083333333333333,0.7060439560439561,0.06318681318681318,0.6506964838862217,0.16327396436525637,0.0,0.0,0.6790065603043925,0.13569351091880474,0.02061799289034728,0.004707127696733315,0.037482909488651905,0.010650726594342403,0.05810090237899918,0.01181782154723031,0.6394745896947556,0.07994257732703647,1.37454667020536,0.4357488723035547,0.025968074308613708,0.06639448209386002,1.3412383809911494,0.39606167835539696,22.75965339836167,3.204236126559747, 
CA61,g100,[3.4004], , , ,0.022916666666666665,0.0020833333333333346,0.03958333333333333,0.004658474953124561,0.0625,0.004658474953124561,0.632002801120448,0.03610859116154603,1.4788590994352433,0.22296292278873303,0.0,0.0,1.4210832379720775,0.31673318433225317,0.02499999999999999,1.0408340855860843e-17,0.03472222222222222,0.0019641855032959646,0.05972222222222222,0.0019641855032959646,0.5809523809523809,0.013468700594029482,1.7276799097768512,0.2277482955534273,0.0,0.0,1.7101004010587026,0.23367017805805404,0.01805555555555555,0.0019641855032959646,0.041666666666666664,0.0034020690871988577,0.059722222222222225,0.0034020690871988577,0.6980311355311355,0.011660102177881682,1.6773536294309828,0.4390845772276285,0.08971196107265823,0.0687377863525761,1.2961503647791344,0.08301912660613822,0.021875,0.001804219591217582,0.03645833333333333,0.0034548174899535406,0.05833333333333335,0.0034548174899535406,0.624084249084249,0.035404759015061,1.4356494788067267,0.8433813428215927,0.299239627753155,0.5189915985484453,1.5540411898644417,1.1963205640555234,0.03125,0.0020833333333333333,0.028125,0.003454817489953541,0.059375,0.003454817489953541,0.4725274725274726,0.03802825895456576,1.6217041074268923,0.20326994461369707,0.03074215111950964,0.05331819943812227,1.527577150543226,0.11555431892054752,0.02395833333333333,0.004540519732854869,0.03229166666666666,0.0018042195912175802,0.05625,0.0018042195912175802,0.5781385281385282,0.03703955908031311,1.6163243996213261,0.3010404871353271,0.0,0.0,1.6791317556250285,0.20099805663204048,0.022854146498870603,0.0058092803569200595,0.034297353985156494,0.006254641945397156,0.05715150048402711,0.00592369610075137,0.6001059746845114,0.09182194460883125,1.4732387408409362,0.39849327019277686,0.03753843627177825,0.16812980479945094,1.504484990265754,0.4306082168235745,24.322290234717286,2.5532599989833296, 
CA61,g150,[3.4206], , , ,0.025,0.0,0.03125,0.002083333333333333,0.05625,0.002083333333333333,0.5549450549450551,0.01648351648351648,1.2995635070895062,0.06854123776588454,0.0,0.0,1.3743129785881858,0.07143465925564842,0.025,0.0,0.03125,0.002083333333333333,0.05625,0.002083333333333333,0.5549450549450551,0.01648351648351648,1.3208279393956424,0.15567543076630494,0.10712358108112045,0.10733302375094739,1.2348677028876995,0.07985782694996411,0.018750000000000003,0.002083333333333333,0.04166666666666667,6.938893903907228e-18,0.06041666666666667,6.938893903907228e-18,0.6904761904761906,0.02380952380952378,1.6642056034686281,0.07805637145808442,0.0,0.0,1.6129061896032122,0.10518527162827643,0.018750000000000003,0.002083333333333333,0.043750000000000004,0.006250000000000002,0.0625,0.006250000000000002,0.6990950226244345,0.006787330316742113,1.9395741794592383,0.34622824807031016,0.0,0.0,1.5224258866678064,0.7559898713426852,0.025,0.0,0.03541666666666667,0.002083333333333333,0.06041666666666667,0.002083333333333333,0.5857142857142857,0.014285714285714289,1.4429347273137831,0.09507230054712572,0.0,0.0,1.692152572045599,0.1940280364231883,0.029166666666666667,0.0,0.037500000000000006,0.004166666666666666,0.06666666666666667,0.004166666666666666,0.5607843137254903,0.027450980392156876,1.5250809656524271,0.19883598151184895,0.0,0.0,0.7873318594294337,0.5525298198573646,0.020828471411901982,0.0049325289177492215,0.035798327499027616,0.005169285774528185,0.0566267989109296,0.0069162161045519185,0.6337727036616801,0.06757354127260348,1.392979013129081,0.3469393789465708,0.01483689437978342,0.04856379069116934,1.3521956068149612,0.35996988043216255,22.159203906628036,2.3756209435057776, 
CA60,g24,[3.7981], , , ,0.02083333333333334,0.007795119555779045,0.04583333333333333,0.02901747557746691,0.06666666666666667,0.02901747557746691,0.6543873152709359,0.07382611236509413,1.5149561672081144,0.3117454178557139,0.03227592061109227,0.055947739156348986,1.4635954326518215,0.25783949014469776,0.02499999999999999,1.0408340855860843e-17,0.05624999999999999,0.014583333333333335,0.08124999999999999,0.014583333333333335,0.6820652173913044,0.05706521739130431,1.914896689065482,0.1459323511980635,0.11347688186312824,0.11361145024385956,1.6224530739576777,0.17178817518622608,0.020833333333333332,0.003402069087198859,0.04861111111111112,0.007081971546656647,0.06944444444444445,0.007081971546656647,0.6971677559912853,0.0575592366606663,1.7641718244940965,0.4242849721829823,0.048180880481077555,0.06819866555250811,1.3810192046534657,0.4131366737059065,0.022916666666666655,0.0020833333333333346,0.056249999999999994,0.0020833333333333333,0.07916666666666666,0.0020833333333333333,0.7105263157894736,0.026315789473684237,1.6713908701993208,0.10691462424602224,0.0,0.0,1.7786858819431226,0.06365707332465649,0.028124999999999997,0.0090210979560879,0.034375,0.00541265877365274,0.06249999999999999,0.00541265877365274,0.5593312937062938,0.049748798004807415,1.402518736568719,0.328759687264206,0.10543221972979346,0.07883369109978844,1.4373614117282096,0.3064380641812994,0.03194444444444444,0.00392837100659193,0.051388888888888894,0.014163943093313291,0.08333333333333333,0.014163943093313291,0.6069444444444445,0.07187416129408668,1.7762912146609535,0.07054523055664143,0.10181363660388403,0.028918264778330142,1.6692995521693594,0.05401181535216876,0.024844510546241212,0.00906327675070734,0.04647557238146746,0.017242908942226673,0.07132008292770865,0.01854367807128908,0.6381921268447776,0.12626269638116294,1.6347554508739754,0.49046178983947686,0.05982592694457122,0.08875954394049196,1.664235484797395,0.43842568680964544,21.64579760667692,1.9281008859030915, 
CA60,g100,[3.3517], , , ,0.02083333333333333,3.469446951953614e-18,0.03750000000000001,0.006804138174397715,0.05833333333333332,0.006804138174397715,0.6378968253968256,0.04267026422144162,1.7181433761271268,0.1689768441249446,0.0,0.0,1.7814737450966418,0.22065182321566132,0.018055555555555547,0.001964185503295964,0.03750000000000001,0.006804138174397715,0.05555555555555554,0.006804138174397715,0.6696581196581197,0.06329693176295464,1.7755482658395305,0.06068263312611973,0.03594610839806612,0.050876599979381404,1.6660570320383472,0.1382471161913442,0.016666666666666663,3.469446951953614e-18,0.03611111111111111,0.001964185503295965,0.052777777777777764,0.001964185503295965,0.6837606837606839,0.012087295404898257,1.735441807191218,0.5713146900957348,0.0,0.0,2.0124480556956836,0.4655014839630137,0.02083333333333333,3.469446951953614e-18,0.03472222222222223,0.00392837100659193,0.055555555555555566,0.00392837100659193,0.6230158730158731,0.02805979290422808,1.8528800985530178,0.11994506297459001,0.03525651778075693,0.04990058261477952,1.6627229260639156,0.13775548899021017,0.028124999999999997,0.0034548174899535406,0.023958333333333328,0.008001193487363133,0.052083333333333336,0.008001193487363133,0.4506993006993006,0.0925371961511925,1.7026495696927553,0.248303869054992,0.05123266822751518,0.05239204461130929,1.4400720158949887,0.5650434902923016,0.022916666666666665,0.008589803386703461,0.028124999999999997,0.009021097956087902,0.05104166666666666,0.009021097956087902,0.5484848484848485,0.16585200346194673,1.3093647210225385,0.5821648771604071,0.0,0.0,1.6605486799235545,0.22457579292647645,0.02165545590433483,0.005979890639194435,0.0372259591429995,0.009265426522691349,0.05888141504733433,0.008733872653655812,0.6269280183175975,0.10783074841631275,1.6829755158127966,0.37757893769077583,0.0237572356336824,0.055555432585138446,1.683060707238297,0.36852892862794845,27.44076339738214,2.2068912421920537, 
CA60,glass,[3.5104], , , ,0.016666666666666663,3.469446951953614e-18,0.03499999999999998,0.002041241452319315,0.051666666666666666,0.002041241452319315,0.6769230769230771,0.012561485860426566,1.6351371175729814,0.3667222358608917,0.0,0.0,1.561272099805011,0.24551191936460967,0.01736111111111111,0.0015528249843748533,0.03402777777777778,0.002863267795567819,0.05138888888888889,0.002863267795567819,0.6616161616161617,0.028017855061542793,1.6057392421940289,0.15390976740847395,0.0,0.0,1.6335083788769418,0.1414511410643533,0.01583333333333333,0.0031180478223116178,0.036666666666666674,0.004859126579037749,0.0525,0.004859126579037749,0.6967032967032966,0.06658057073955859,1.574425205675724,0.25053413519342643,0.0,0.0,1.6318524280804723,0.2796350868592941,0.017499999999999995,0.004082482904638631,0.03499999999999998,0.003333333333333333,0.052500000000000005,0.003333333333333333,0.6679487179487179,0.07026763900535753,1.629426904077676,0.2164295553511885,0.010437017142824575,0.020888610334671508,1.5775943690948868,0.13991124018313453,0.0375,0.008333333333333333,0.01833333333333334,0.007264831572567789,0.05583333333333333,0.007264831572567789,0.3283916083916084,0.12519599774058923,1.5936876660317294,0.2596591598121588,0.04126512468838535,0.05058768719681202,1.5071412224230958,0.16528330191802154,0.029166666666666667,0.005892556509887896,0.020000000000000007,0.005527707983925666,0.04916666666666667,0.005527707983925666,0.40335164835164833,0.050283701834778566,1.5513848555540921,0.15856282087769857,0.0,0.0,1.553374297568824,0.15848388470186037,0.021956635318704284,0.008252882670095885,0.034454458376872166,0.011056182643860301,0.05641109369557646,0.009528553976326192,0.606510962841439,0.14474712487697566,1.421048080617131,0.3776330308643262,0.019873423107088662,0.0681382905523404,1.434420664724403,0.29972993276532295,28.00806306394813,5.181791198659492, 
CA60,g60,[3.0179], , , ,0.02222222222222222,0.0019641855032959663,0.03888888888888888,0.011947673982003647,0.06111111111111111,0.011947673982003647,0.6225589225589226,0.0739070660930562,1.685981664594125,0.27586876642925956,0.0,0.0,1.7576667180155243,0.2958346264391678,0.020833333333333336,3.469446951953614e-18,0.03958333333333334,0.006249999999999998,0.06041666666666668,0.006249999999999998,0.6514423076923077,0.036057692307692346,1.4975950420837731,0.3701907859347082,0.001702237204732806,0.0017036310018520792,1.4554615574183047,0.32485625594773326,0.020833333333333332,0.003402069087198859,0.03888888888888889,0.005196746370519363,0.05972222222222223,0.005196746370519363,0.6515837104072396,0.031566288893599345,1.665969889361581,0.45935490378472266,0.05455875601426659,0.039039965846483976,1.3493619006754387,0.20608393008909526,0.01805555555555555,0.001964185503295965,0.043055555555555555,0.00392837100659193,0.06111111111111111,0.00392837100659193,0.7043803418803419,0.02056672493599158,1.6119955408165312,0.33630263180953773,0.0,0.0,1.482524420830372,0.3215927155044235,0.027777777777777776,0.007081971546656645,0.03194444444444444,0.00392837100659193,0.05972222222222222,0.00392837100659193,0.5405982905982906,0.034054225321600885,1.5133254283492703,0.18038007271712447,0.03245678294431551,0.045929013316395914,1.4380457352304252,0.10001473891736525,0.030555555555555555,0.010393492741038726,0.024999999999999998,0.003402069087198859,0.05555555555555555,0.003402069087198859,0.46666666666666673,0.10886621079036352,1.3960330563083583,0.22030813027114804,0.049484123252093636,0.03521508943989469,1.5689617237792937,0.16936509165995708,0.022975234270414993,0.007311425243452069,0.040327978580990624,0.011433158692586142,0.06330321285140562,0.01198820336919517,0.6301656912961652,0.10851955299103842,1.626470726712132,0.4925855806831563,0.0334412213901154,0.0543167037937402,1.4950953235310722,0.4586376478792364,23.534177416434893,1.6756320851338715, 
CA60,g150,[3.0363], , , ,0.018055555555555557,0.0019641855032959646,0.0611111111111111,0.008561686115234687,0.07916666666666666,0.008561686115234687,0.7707336523125998,0.01617660508381244,1.7083371936632643,0.2375751013963601,0.021723743717693422,0.030735431937171282,1.5220779358518102,0.09073031402643991,0.020833333333333325,0.0041666666666666675,0.05416666666666667,0.007795119555779044,0.07499999999999998,0.007795119555779044,0.7237041467304625,0.024272793176470544,1.9322496159181375,0.18691992097632465,0.0,0.0,1.6363317549494523,0.3429121923148012,0.01979166666666666,0.003454817489953542,0.054166666666666675,0.005892556509887897,0.07395833333333333,0.005892556509887897,0.733062435500516,0.030309945713020637,1.525301430420929,0.29439208597517563,0.052417047919800765,0.03120786804253862,1.2804243219278146,0.2075629235532895,0.020833333333333336,0.003402069087198859,0.043055555555555555,0.012880025688188478,0.06388888888888888,0.012880025688188478,0.6574074074074074,0.11188005531106085,2.058803624486368,0.26473188400605663,0.014141066851953798,0.01025972014572501,1.5881641409827227,0.4102111748821605,0.029166666666666664,0.008838834764831844,0.04270833333333333,0.0045405197328548695,0.071875,0.0045405197328548695,0.6020911654135338,0.07976091228720113,1.4946689883989954,0.15862828489856437,0.0,0.0,1.466194372423316,0.20498566973440055,0.028125,0.008001193487363133,0.037499999999999985,0.009316949906249122,0.065625,0.009316949906249122,0.5741071428571429,0.04679627743349522,1.6204497864384266,0.5381591068595257,0.05092107793585332,0.03696282243899945,1.5619540944128691,0.5317381124851965,0.02290774446823697,0.007899926557806644,0.04185403283369022,0.012779494388919265,0.0647617773019272,0.01377061843483921,0.6388211324466204,0.11995633125295076,1.6650672768479378,0.3764217087086356,0.025068948508592783,0.03902464441891478,1.6273234381251893,0.3610489997212677,26.083147192428925,3.026037451166521, 
