Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,818.167,942.833,0,166.6,0,0,NA,NA,NA,NA,NA
2,1,2,818.167,942.833,1,169.4,0,0,NA,0,0,0,NA
3,1,3,818.167,942.833,2,177.4,0,0,NA,0,0,0,0
4,1,4,818.167,942.833,3,175.3,0,0,NA,0,0,0,0
5,1,5,818.167,942.833,4,173.4,0,0,NA,0,0,0,0
6,1,6,818.167,942.833,5,171.4,0,0,NA,0,0,0,0
7,1,7,818.167,942.833,6,159.4,0,0,NA,0,0,0,0
8,1,8,818.167,942.833,7,175.3,0,0,NA,0,0,0,0
9,1,9,818.167,942.833,8,171.4,0,0,NA,0,0,0,0
10,1,10,818.167,942.833,9,172.8,0,0,NA,0,0,0,0
11,1,11,818.167,942.833,10,172.8,0,0,NA,0,0,0,0
12,1,12,817.833,940.5,11,164.4,2.357,2.357,NA,2.357,2.357,-98.13,-98.13
13,1,13,841.833,1009.833,14,194.3,75.727,71.057,NA,73.37,24.457,70.907,169.037
14,1,14,841.833,1009.833,15,193.3,75.727,71.057,NA,0,0,0,-70.907
15,1,15,841.833,1009.833,16,182.7,75.727,71.057,NA,0,0,0,0
16,1,16,841.833,1009.833,17,187.3,75.727,71.057,NA,0,0,0,0
17,1,17,843.5,1009.833,18,152.5,77.393,71.629,NA,1.667,1.667,0,0
18,1,18,843.167,1006.833,19,188.9,80.412,68.71,NA,3.018,3.018,-96.34,-96.34
19,1,19,843.167,1006.833,20,184.4,80.412,68.71,NA,0,0,0,96.34
20,1,20,842.167,1005.5,21,185.2,82.079,67.105,NA,1.667,1.667,-126.87,-126.87
21,1,21,842.167,1005.5,22,178.2,82.079,67.105,NA,0,0,0,126.87
22,1,22,871.167,1117.5,27,167,197.772,182.531,NA,115.694,23.139,75.483,75.483
23,1,23,871.167,1117.5,28,171.5,197.772,182.531,NA,0,0,0,-75.483
24,1,24,871.167,1117.5,29,172,197.772,182.531,NA,0,0,0,0
25,1,25,871.167,1117.5,30,151.2,197.772,182.531,NA,0,0,0,0
26,1,26,871.167,1117.5,31,146.3,197.772,182.531,NA,0,0,0,0
27,1,27,872.5,1117.5,32,170.6,199.105,182.922,NA,1.333,1.333,0,0
28,1,28,872.833,1117.167,33,172.7,199.577,182.703,NA,0.471,0.471,-45,-45
29,1,29,872.833,1117.167,34,167.9,199.577,182.703,NA,0,0,0,45
30,1,30,872.833,1117.167,35,172.7,199.577,182.703,NA,0,0,0,0
31,1,31,899.5,1217.167,42,150.7,303.071,286.136,NA,103.494,14.785,75.069,75.069
32,1,32,899.5,1217.167,43,156.7,303.071,286.136,NA,0,0,0,-75.069
33,1,33,899.5,1217.167,44,149.7,303.071,286.136,NA,0,0,0,0
34,1,34,899.5,1217.167,45,156.2,303.071,286.136,NA,0,0,0,0
35,1,35,899.5,1217.167,46,150.5,303.071,286.136,NA,0,0,0,0
36,1,36,899.5,1217.167,47,156.1,303.071,286.136,NA,0,0,0,0
37,1,37,899.5,1217.167,48,153,303.071,286.136,NA,0,0,0,0
38,1,40,899.5,1217.167,49,149.1,303.071,286.136,NA,0,0,0,0
39,2,1,661.5,1111.833,0,161.1,0,0,NA,NA,NA,NA,NA
40,2,2,661.5,1111.833,1,163.6,0,0,NA,0,0,0,NA
41,2,3,661.5,1111.833,2,159.1,0,0,NA,0,0,0,0
42,2,4,661.5,1111.833,3,159.1,0,0,NA,0,0,0,0
43,2,5,631.167,1161.167,8,163.4,57.913,57.913,NA,57.913,11.583,121.586,121.586
44,2,6,631.167,1161.167,9,176.2,57.913,57.913,NA,0,0,0,-121.586
