Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,1238.25,467.25,0,86.2,0,0,NA,NA,NA,NA,NA
2,1,2,1238.25,467.25,1,90.1,0,0,NA,0,0,0,NA
3,1,3,1238.25,467.25,2,94.3,0,0,NA,0,0,0,0
4,1,4,1238.25,467.25,3,88.9,0,0,NA,0,0,0,0
5,1,5,1238.25,467.25,4,85.3,0,0,NA,0,0,0,0
6,1,6,1238.25,467.25,5,81.5,0,0,NA,0,0,0,0
7,1,7,1238.25,467.25,6,84.5,0,0,NA,0,0,0,0
8,1,8,1238.25,467.25,7,84.3,0,0,NA,0,0,0,0
9,1,9,1238.25,467.25,8,82.9,0,0,NA,0,0,0,0
10,1,10,1238.25,467.25,9,88.9,0,0,NA,0,0,0,0
11,1,11,1238.25,467.25,10,86.6,0,0,NA,0,0,0,0
12,1,12,1238.25,467.25,11,89.9,0,0,NA,0,0,0,0
13,1,13,1238.25,467.25,12,85.3,0,0,NA,0,0,0,0
14,1,14,1238.25,467.25,13,80.6,0,0,NA,0,0,0,0
15,1,15,1238.25,467.25,14,78.5,0,0,NA,0,0,0,0
16,1,16,1238.25,467.25,15,79.1,0,0,NA,0,0,0,0
17,1,17,1238.25,467.25,16,78.1,0,0,NA,0,0,0,0
18,1,18,1238.25,467.25,17,73.3,0,0,NA,0,0,0,0
19,1,19,1238.25,467.25,18,54,0,0,NA,0,0,0,0
20,1,20,1349,415,23,85.5,122.457,122.457,NA,122.457,24.491,-25.257,-25.257
21,1,21,1349,415,24,78.2,122.457,122.457,NA,0,0,0,25.257
22,1,22,1349,415,25,77,122.457,122.457,NA,0,0,0,0
23,1,23,1349,415,26,81.9,122.457,122.457,NA,0,0,0,0
24,1,24,1349,415,27,81.9,122.457,122.457,NA,0,0,0,0
25,1,25,1349,415,28,80.3,122.457,122.457,NA,0,0,0,0
26,1,26,1349,415,29,74.5,122.457,122.457,NA,0,0,0,0
27,1,27,1349,415,30,79.5,122.457,122.457,NA,0,0,0,0
28,1,28,1349,415,31,80.5,122.457,122.457,NA,0,0,0,0
29,1,29,1349,415,32,79.5,122.457,122.457,NA,0,0,0,0
30,1,30,1349,415,33,76.1,122.457,122.457,NA,0,0,0,0
31,1,31,1349,415,34,76.1,122.457,122.457,NA,0,0,0,0
32,1,32,1349,415,35,73.5,122.457,122.457,NA,0,0,0,0
33,1,33,1349,415,36,67.7,122.457,122.457,NA,0,0,0,0
34,1,34,1349,415,37,71.4,122.457,122.457,NA,0,0,0,0
35,1,35,1349,415,38,69,122.457,122.457,NA,0,0,0,0
36,1,36,1349,415,39,76,122.457,122.457,NA,0,0,0,0
37,1,37,1349,415,40,78.4,122.457,122.457,NA,0,0,0,0
38,1,38,1349,415,41,75.7,122.457,122.457,NA,0,0,0,0
39,1,39,1349,415,42,82.9,122.457,122.457,NA,0,0,0,0
40,1,40,1451.25,367.5,47,23.5,235.201,235.2,NA,112.744,22.549,-24.917,-24.917
41,1,41,1451.25,367.5,48,21.2,235.201,235.2,NA,0,0,0,24.917
42,1,42,1451.25,367.5,49,24.8,235.201,235.2,NA,0,0,0,0
43,1,43,1451.25,367.5,50,18.6,235.201,235.2,NA,0,0,0,0
44,1,44,1451.25,367.5,51,29.2,235.201,235.2,NA,0,0,0,0
45,1,45,1451.25,367.5,52,30.3,235.201,235.2,NA,0,0,0,0
46,1,46,1451.25,367.5,53,30.9,235.201,235.2,NA,0,0,0,0
47,1,47,1451.25,367.5,54,32.9,235.201,235.2,NA,0,0,0,0
48,1,48,1451.25,367.5,55,34.1,235.201,235.2,NA,0,0,0,0
49,1,49,1451.25,367.5,56,36.1,235.201,235.2,NA,0,0,0,0
50,1,50,1451.25,367.5,57,40.9,235.201,235.2,NA,0,0,0,0
51,1,51,1451.25,367.5,58,36.2,235.201,235.2,NA,0,0,0,0
52,1,52,1451.25,367.5,59,36.4,235.201,235.2,NA,0,0,0,0
53,1,53,1451.25,367.5,60,52.6,235.201,235.2,NA,0,0,0,0
54,1,54,1451.25,367.5,61,54.9,235.201,235.2,NA,0,0,0,0
55,1,55,1452,367.25,62,57.2,235.992,235.985,NA,0.791,0.791,-18.435,-18.435
56,1,56,1452,367.25,63,57.2,235.992,235.985,NA,0,0,0,18.435
57,1,57,1452,367.25,64,59.8,235.992,235.985,NA,0,0,0,0
58,1,58,1632.25,309.5,68,60.5,425.267,424.407,NA,189.275,47.319,-17.765,-17.765
59,1,59,1632.25,309.5,69,30.6,425.267,424.407,NA,0,0,0,17.765
60,1,60,1632.25,309.5,70,29.7,425.267,424.407,NA,0,0,0,0
61,1,61,1632.25,309.5,71,29.2,425.267,424.407,NA,0,0,0,0
62,1,62,1632.25,309.5,72,28.2,425.267,424.407,NA,0,0,0,0
63,1,63,1632.25,309.5,73,26.8,425.267,424.407,NA,0,0,0,0
64,1,64,1632.25,309.5,74,27.1,425.267,424.407,NA,0,0,0,0
65,1,65,1632.25,309.5,75,25.8,425.267,424.407,NA,0,0,0,0
66,1,66,1632.25,309.5,76,25.8,425.267,424.407,NA,0,0,0,0
67,1,67,1632.25,309.5,77,24.9,425.267,424.407,NA,0,0,0,0
68,1,68,1632.25,309.5,78,24,425.267,424.407,NA,0,0,0,0
69,1,69,1632.25,309.5,79,22.5,425.267,424.407,NA,0,0,0,0
70,1,73,1632.25,309.5,80,21.6,425.267,424.407,NA,0,0,0,0
71,2,1,1099.5,574.25,0,35.2,0,0,NA,NA,NA,NA,NA
72,2,2,1099.5,574.25,1,35.2,0,0,NA,0,0,0,NA
73,2,3,1099.5,574.25,2,29.2,0,0,NA,0,0,0,0
74,2,4,1099.5,574.25,3,32.6,0,0,NA,0,0,0,0
75,2,5,1099.5,574.25,4,33.6,0,0,NA,0,0,0,0
76,2,6,1099.5,574.25,5,33.6,0,0,NA,0,0,0,0
77,2,7,1099.5,574.25,6,35,0,0,NA,0,0,0,0
78,2,8,1099.5,574.25,7,31.9,0,0,NA,0,0,0,0
79,2,9,1221.5,598,12,56.4,124.29,124.29,NA,124.29,24.858,11.016,11.016
80,2,10,1221.5,598,13,62.8,124.29,124.29,NA,0,0,0,-11.016
81,2,11,1221.5,598,14,58.5,124.29,124.29,NA,0,0,0,0
82,2,12,1221.5,598,15,64.4,124.29,124.29,NA,0,0,0,0
83,2,13,1221.5,598,16,51.4,124.29,124.29,NA,0,0,0,0
84,2,14,1221.5,598,17,50.1,124.29,124.29,NA,0,0,0,0
85,2,15,1221.5,598,18,53.7,124.29,124.29,NA,0,0,0,0
86,2,16,1221.5,598,19,58.7,124.29,124.29,NA,0,0,0,0
87,2,17,1221.5,598,20,58.2,124.29,124.29,NA,0,0,0,0
88,2,18,1221.5,598,21,51.2,124.29,124.29,NA,0,0,0,0
89,2,19,1221.5,598,22,54.1,124.29,124.29,NA,0,0,0,0
90,2,20,1221.5,598,23,49.2,124.29,124.29,NA,0,0,0,0
91,2,21,1221.5,598,24,55.2,124.29,124.29,NA,0,0,0,0
92,2,22,1221.5,598,25,54.1,124.29,124.29,NA,0,0,0,0
93,2,23,1221.5,598,26,43.2,124.29,124.29,NA,0,0,0,0
94,2,24,1221.5,598,27,49.2,124.29,124.29,NA,0,0,0,0
95,2,25,1221.5,598,28,42.1,124.29,124.29,NA,0,0,0,0
96,2,26,1221.5,598,29,33.7,124.29,124.29,NA,0,0,0,0
97,2,27,1221.5,598,30,33.7,124.29,124.29,NA,0,0,0,0
98,2,28,1221.5,598,31,32.9,124.29,124.29,NA,0,0,0,0
99,2,29,1221.5,598,32,31.3,124.29,124.29,NA,0,0,0,0
100,2,30,1221.5,598,33,30.2,124.29,124.29,NA,0,0,0,0
101,2,31,1221.5,598,34,23.5,124.29,124.29,NA,0,0,0,0
102,2,32,1221.5,598,35,15.3,124.29,124.29,NA,0,0,0,0
103,2,33,1410.75,584.5,41,57.4,314.021,311.419,NA,189.731,31.622,-4.08,-4.08
104,2,34,1410.75,584.5,42,55.2,314.021,311.419,NA,0,0,0,4.08
105,2,35,1410.75,584.5,43,49.2,314.021,311.419,NA,0,0,0,0
106,2,36,1410.75,584.5,44,51.2,314.021,311.419,NA,0,0,0,0
107,2,37,1410.75,584.5,45,55,314.021,311.419,NA,0,0,0,0
108,2,38,1410.75,584.5,46,49,314.021,311.419,NA,0,0,0,0
109,2,39,1410.75,584.5,47,49.3,314.021,311.419,NA,0,0,0,0
110,2,40,1410.75,584.5,48,46.8,314.021,311.419,NA,0,0,0,0
111,2,41,1410.75,584.5,49,41.9,314.021,311.419,NA,0,0,0,0
112,2,42,1410.75,584.5,50,43.1,314.021,311.419,NA,0,0,0,0
113,2,43,1410.75,584.5,51,44.1,314.021,311.419,NA,0,0,0,0
114,2,44,1410.75,584.5,52,42.1,314.021,311.419,NA,0,0,0,0
115,2,45,1410.75,584.5,53,33.8,314.021,311.419,NA,0,0,0,0
116,2,46,1410.75,584.5,54,31.3,314.021,311.419,NA,0,0,0,0
117,2,47,1410.75,584.5,55,29.3,314.021,311.419,NA,0,0,0,0
118,2,48,1565.25,557,59,18.6,470.949,466.069,NA,156.928,39.232,-10.093,-10.093
119,2,49,1565.25,557,60,14.9,470.949,466.069,NA,0,0,0,10.093
120,2,50,1565.25,557,61,23.4,470.949,466.069,NA,0,0,0,0
121,2,51,1565.25,557,62,25.9,470.949,466.069,NA,0,0,0,0
122,2,52,1565.25,557,63,28.3,470.949,466.069,NA,0,0,0,0
123,2,53,1565.25,557,64,25.6,470.949,466.069,NA,0,0,0,0
124,2,54,1565.25,557,65,23.3,470.949,466.069,NA,0,0,0,0
125,2,55,1565.25,557,66,24.6,470.949,466.069,NA,0,0,0,0
126,2,56,1565.25,557,67,28,470.949,466.069,NA,0,0,0,0
127,2,57,1565.25,557,68,8,470.949,466.069,NA,0,0,0,0
128,2,58,1565.25,557,69,16.7,470.949,466.069,NA,0,0,0,0
129,2,59,1565.25,557,70,20.9,470.949,466.069,NA,0,0,0,0
130,2,60,1565.25,557,71,21.2,470.949,466.069,NA,0,0,0,0
131,2,61,1565.25,557,72,20.8,470.949,466.069,NA,0,0,0,0
132,2,62,1704,474.25,77,22.6,632.502,612.715,NA,161.552,32.31,-30.812,-30.812
133,2,63,1704,474.25,78,20.3,632.502,612.715,NA,0,0,0,30.812
134,2,64,1704,474.25,79,20.3,632.502,612.715,NA,0,0,0,0
135,2,65,1704,474.25,80,22.3,632.502,612.715,NA,0,0,0,0
136,3,1,1149.5,304.75,0,39.8,0,0,NA,NA,NA,NA,NA
137,3,2,1149.5,304.75,1,37.2,0,0,NA,0,0,0,NA
138,3,3,1149.5,304.75,2,31.8,0,0,NA,0,0,0,0
139,3,4,1149.5,304.75,3,39.6,0,0,NA,0,0,0,0
140,3,5,1149.5,304.75,4,43.6,0,0,NA,0,0,0,0
141,3,6,1149.5,304.75,5,42.2,0,0,NA,0,0,0,0
142,3,7,1149.5,304.75,6,38.9,0,0,NA,0,0,0,0
143,3,8,1149.5,304.75,7,42.1,0,0,NA,0,0,0,0
144,3,9,1149.5,304.75,8,57.6,0,0,NA,0,0,0,0
145,3,10,1149.5,304.75,9,59.9,0,0,NA,0,0,0,0
146,3,11,1149.5,304.75,10,58.5,0,0,NA,0,0,0,0
147,3,12,1149.5,304.75,11,85.5,0,0,NA,0,0,0,0
148,3,13,1142.75,304.75,12,71.6,6.75,6.75,NA,6.75,6.75,180,180
149,3,14,1142.75,304.75,13,63.4,6.75,6.75,NA,0,0,0,-180
150,3,15,1142.75,304.75,14,57.2,6.75,6.75,NA,0,0,0,0
151,3,16,1143,319.25,16,105.2,21.252,15.89,NA,14.502,7.251,89.012,89.012
152,3,17,1143,319.25,17,109.8,21.252,15.89,NA,0,0,0,-89.012
153,3,18,1136.75,338.5,20,44.8,41.491,36.078,NA,20.239,6.746,107.987,107.987
154,3,19,1136.75,338.5,21,56.2,41.491,36.078,NA,0,0,0,-107.987
155,3,20,1136.75,338.5,22,76.1,41.491,36.078,NA,0,0,0,0
156,3,21,1136.75,338.5,23,77.5,41.491,36.078,NA,0,0,0,0
157,3,22,1136.75,338.5,24,94.5,41.491,36.078,NA,0,0,0,0
158,3,23,1133.5,341.5,25,71.2,45.914,40.082,NA,4.423,4.423,137.291,137.291
159,3,24,1133.5,341.5,26,78.2,45.914,40.082,NA,0,0,0,-137.291
160,3,25,1133.5,341.5,27,86.2,45.914,40.082,NA,0,0,0,0
161,3,26,1133.5,341.5,28,80.8,45.914,40.082,NA,0,0,0,0
162,3,27,1275,329.5,33,79.2,187.922,127.917,NA,142.008,28.402,-4.847,-4.847
163,3,28,1275,329.5,34,86.2,187.922,127.917,NA,0,0,0,4.847
164,3,29,1275,329.5,35,77.2,187.922,127.917,NA,0,0,0,0
165,3,30,1275,329.5,36,78.2,187.922,127.917,NA,0,0,0,0
166,3,31,1275,329.5,37,79.4,187.922,127.917,NA,0,0,0,0
167,3,32,1275,329.5,38,78.4,187.922,127.917,NA,0,0,0,0
168,3,33,1275,329.5,39,79.4,187.922,127.917,NA,0,0,0,0
169,3,34,1275,329.5,40,74.4,187.922,127.917,NA,0,0,0,0
170,3,35,1275,329.5,41,73.4,187.922,127.917,NA,0,0,0,0
171,3,36,1275,329.5,42,73.4,187.922,127.917,NA,0,0,0,0
172,3,37,1275,329.5,43,60.4,187.922,127.917,NA,0,0,0,0
173,3,38,1275,329.5,44,66.4,187.922,127.917,NA,0,0,0,0
174,3,39,1275,329.5,45,75.7,187.922,127.917,NA,0,0,0,0
175,3,40,1275,329.5,46,66.7,187.922,127.917,NA,0,0,0,0
176,3,41,1275,329.5,47,67.4,187.922,127.917,NA,0,0,0,0
177,3,42,1275,329.5,48,71.4,187.922,127.917,NA,0,0,0,0
178,3,43,1275,329.5,49,73.6,187.922,127.917,NA,0,0,0,0
179,3,44,1275,329.5,50,70.3,187.922,127.917,NA,0,0,0,0
180,3,45,1275,329.5,51,67.8,187.922,127.917,NA,0,0,0,0
181,3,46,1276.25,333.5,52,63.9,192.113,129.97,NA,4.191,4.191,72.646,72.646
182,3,47,1276.25,333.5,53,60.4,192.113,129.97,NA,0,0,0,-72.646
183,3,48,1276.25,333.5,54,53.7,192.113,129.97,NA,0,0,0,0
184,3,49,1274.5,338,55,66.6,196.941,129.347,NA,4.828,4.828,111.251,111.251
185,3,50,1429,309.75,61,38.7,354.003,279.545,NA,157.061,26.177,-10.362,-121.612
186,3,51,1429.25,309.75,62,37.3,354.253,279.795,NA,0.25,0.25,0,10.362
187,3,52,1429.25,309.75,63,38.9,354.253,279.795,NA,0,0,0,0
188,3,53,1429.25,309.75,64,38.5,354.253,279.795,NA,0,0,0,0
189,3,54,1429.25,309.75,65,38.5,354.253,279.795,NA,0,0,0,0
190,3,55,1429.25,309.75,66,41.1,354.253,279.795,NA,0,0,0,0
191,3,56,1429.25,309.75,67,43.2,354.253,279.795,NA,0,0,0,0
