species,individual,video,date_gassed,time_gassed,date_recorded,time_recorded,walk_frame_start,walk_frame_end,spatial_calibration,body_length,tracker_1,tracker_1_complete,tracker_2,tracker_2_complete,analyze,comments,analysis_comments
Clogmia,CA40,CA40_g150_1_2_00-00-13.avi,11/13/23,11:00,11/13/23,13:35,3,70,72.76,3.27,EB,yes,,,yes,,
Clogmia,CA40,CA40_g150_1_1_00-01-37.avi,11/13/23,11:00,11/13/23,13:34,26,90,71.428,3.34,EB,yes,,,yes,,
Clogmia,CA40,CA40_g150_1_2_00-01-16.avi,11/13/23,11:00,11/13/23,13:35,30,107,73.5,3.3,EB,yes,,,yes,,
Clogmia,CA40,CA40_g150_1_1_00-03-07.avi,11/13/23,11:00,11/13/23,13:34,22,120,71.31,3.604,EB,yes,,,yes,,
Clogmia,CA40,CA40_g150_1_3_00-02-07.avi,11/13/23,11:00,11/13/23,13:35,24,120,73.6,3.56,EB,yes,,,yes,,
Clogmia,CA40,CA40_glass_2_1_00-00-21.avi,11/13/23,11:00,11/13/23,13:47,16,99,68.05,3.646,EB,yes,,,yes,,
Clogmia,CA40,CA40_glass_2_1_00-00-25.avi,11/13/23,11:00,11/13/23,13:47,28,96,68.21,3.89,EB,yes,,,yes,,
Clogmia,CA40,CA40_glass_2_2_00-00-05.avi,11/13/23,11:00,11/13/23,13:47,17,81,67.6,3.635,EB,yes,,,yes,,
Clogmia,CA40,CA40_glass_2_2_00-00-09.avi,11/13/23,11:00,11/13/23,13:47,5,54,68.4,3.471,EB,yes,,,yes,,
Clogmia,CA40,CA40_glass_2_2_00-00-12.avi,11/13/23,11:00,11/13/23,13:47,17,72,68.27,3.851,EB,yes,,,yes,,
Clogmia,CA40,CA40_g100_3_2_00-00-02.avi,11/13/23,11:00,11/13/23,14:16,12,79,76,3.349,EB,yes,,,yes,,
Clogmia,CA40,CA40_g100_3_2_00-00-29.avi,11/13/23,11:00,11/13/23,14:16,8,73,75.21,3.181,EB,yes,,,yes,,
Clogmia,CA40,CA40_g100_3_3_00-02-32.avi,11/13/23,11:00,11/13/23,14:17,6,69,76.001,3.274,EB,yes,,,yes,,
Clogmia,CA40,CA40_g60_4_2_00-00-43.avi,11/13/23,11:00,11/13/23,15:03,37,106,73.13,3.334,EB,yes,,,yes,,
Clogmia,CA40,CA40_g24_5_2_00-00-17.avi,11/13/23,11:00,11/13/23,15:19,44,154,77.58,3.387,EB,yes,,,yes,,
Clogmia,CA40,CA40_g24_5_2_00-01-22.avi,11/13/23,11:00,11/13/23,15:19,24,104,77.78,3.351,EB,yes,,,yes,,
Clogmia,CA43,CA43_g100_1_1_00-01-05.avi,11/14/23,10:15,11/14/23,11:39,26,100,70,3.419,EB,yes,,,yes,,
Clogmia,CA43,CA43_g100_1_1_00-01-17.avi,11/14/23,10:15,11/14/23,11:39,20,82,70.9006,3.44,EB,yes,,,yes,,
Clogmia,CA43,CA43_g100_1_1_00-01-20.avi,11/14/23,10:15,11/14/23,11:39,16,110,71.6011,3.54,EB,yes,,,yes,,
Clogmia,CA43,CA43_g100_1_1_00-01-55.avi,11/14/23,10:15,11/14/23,11:39,31,86,70.4,3.48,EB,yes,,,yes,,
Clogmia,CA43,CA43_g100_1_1_00-02-05.avi,11/14/23,10:15,11/14/23,11:39,27,84,71.2085,3.39,EB,yes,,,yes,,
Clogmia,CA38,CA38_glass_1_1_00-00-45.avi,11/13/23,11:00,11/13/23,12:41,37,105,68.4237,3.21,EB,yes,,,yes,,
Clogmia,CA38,CA38_glass_1_1_00-01-35.avi,11/13/23,11:00,11/13/23,12:41,17,79,67.6958,3.305,EB,yes,,,yes,,
Clogmia,CA38,CA38_glass_1_1_00-01-42.avi,11/13/23,11:00,11/13/23,12:41,48,108,67.7847,3.135,EB,yes,,,yes,,
Clogmia,CA38,CA38_glass_1_1_00-03-10.avi,11/13/23,11:00,11/13/23,12:41,2,92,68.0144,2.354,EB,yes,,,yes,,
Clogmia,CA38,CA38_glass_1_2_00-00-56.avi,11/13/23,11:00,11/13/23,12:41,19,86,68.2495,3.662,EB,yes,,,yes,,
Clogmia,CA38,CA38_g150_2_1_00-01-43.avi,11/13/23,11:00,11/13/23,12:53,34,79,74.6268,3.112,EB,yes,,,yes,difficult to see back legs in some cases,
